MU_code,UID,year,effort,site_number,timesincelogging,timeframe,forest_type ,x,y,100m_buffer,200m_buffer,500m_buffer,1000m_buffer,avg_treesharvest,avg_skidtrail,avg_feeder,avg_secondary,insectivores,frugivores,carnivores,omnivores,nectarivore,sanguinivore,diversity,A.centurio,A.concolor,A.glaucus,A.gnomus,A.lituratus,A.obscurus,A.planirostris,C.auritus,C.brevicauda,C.brevirostris,C.minor,C.perspicillata,C.trinitatum,C.villosum,D.gnoma,D.rotundus,E.auripendulus,G.daviesi,G.soricina,G.sylvestris,L.brasiliense,L.carrikeri,L.schulzi,L.silvicolum,L.spurrelli,L.thomasi,M.albescens,M.brosseti,M.crenulatum,M.hirsute,M.macconnelli,M.megalotis,M.microtis,M.minuta,P.discolor,P.elongatus,P.hastatus,P.helleri,P.leucoptera,P.parnellii,P.stenops,R.pumilio,S.bilineata,S.leptura,S.lilium,S.tildae,T.cirrhosus,T.nicefori,T.saurophila,U.bilobatum,V.bidens,V.pusilla
K39-4Logged2,K39-4,2020,324,26,10,post10,greenheart,302017,510004,14,33,113,414,143.5,0.18,0.65,0.54,1,5,0,1,0,0,7,0,0,0,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
K39-4Plogged,K39-4,2009,432,27,0,pre_logged,greenheart,302017,510004,0,0,0,0,0,0.18,0.65,0.54,4,7,1,0,1,1,14,0,0,0,0,4,4,0,1,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,1,0
K41-1Logged,K41-1,2011,360,28,1,post1,soft_wallaba,307997,510429,0,4,130,445,144.75,0.22,0.32,0.61,6,7,1,0,1,0,15,0,0,0,1,23,7,2,0,0,0,0,8,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,2,0,15,0,0,1,0,1,0,0,0,0,0
K41-1Logged2,K41-1,2020,432,29,10,post10,soft_wallaba,307997,510429,0,4,130,445,144.75,0.22,0.32,0.61,3,6,0,0,1,0,10,0,0,0,0,0,2,1,0,0,0,0,9,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,0,0,0,1,0,1,0
K41-1Plogged,K41-1,2008,459,30,0,pre_logged,soft_wallaba,307997,510429,0,0,0,0,0,0.22,0.32,0.61,3,9,1,2,1,0,16,0,2,0,0,14,11,4,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,1,0,0,2,0,8,0,0,0,0,2,0,0,0,1,0
K41-2Logged,K41-2,2011,324,31,1,post1,greenheart_mixed,306988,510437,5,12,272,765,263.5,0.22,0.32,0.61,1,8,0,1,0,0,10,1,0,0,1,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,2,0
K41-2Logged2,K41-2,2020,423,32,10,post10,greenheart_mixed,306988,510437,5,12,272,765,263.5,0.22,0.32,0.61,3,7,1,0,1,0,12,0,1,0,0,0,2,6,1,0,0,0,8,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,2,0
K41-2Plogged,K41-2,2008,414,33,0,pre_logged,greenheart_mixed,306988,510437,0,0,0,0,0,0.22,0.32,0.61,4,2,2,1,1,0,10,0,0,0,0,0,0,4,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,2,0,0,0,5,0,2,0,0,0,0,1,0,0,0,0,0
K41-3Logged,K41-3,2011,387,34,1,post1,greenheart_mixed,305997,510436,14,39,207,635,223.75,0.22,0.32,0.61,5,7,0,1,0,0,13,1,0,0,1,10,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,2,0,4,0,0,0,0,0,0,1,0,1,0
K41-3Logged2,K41-3,2020,437.4,35,10,post10,greenheart_mixed,305997,510436,14,39,207,635,223.75,0.22,0.32,0.61,0,5,0,0,1,0,6,0,0,0,0,1,2,0,0,0,0,0,13,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
K41-3Plogged,K41-3,2008,432,36,0,pre_logged,greenheart_mixed,305997,510436,0,0,0,0,0,0.22,0.32,0.61,5,5,1,2,1,0,14,0,0,0,0,1,0,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,8,0,2,0,0,0,0,0,0,1,0,1,0
K41-4Logged,K41-4,2011,333,37,1,post1,morei_scrub,305016,510432,0,10,108,341,114.75,0.22,0.32,0.61,5,8,0,0,0,0,13,0,0,1,0,29,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,5,0,0,0,0,0,0,1,1,1,0
K41-4Logged2,K41-4,2020,432,38,10,post10,morei_scrub,305016,510432,0,10,108,341,114.75,0.22,0.32,0.61,2,5,0,1,0,0,8,0,0,0,0,16,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0
K41-4Plogged,K41-4,2008,432,39,0,pre_logged,morei_scrub,305016,510432,0,0,0,0,0,0.22,0.32,0.61,3,11,1,1,0,0,16,0,2,0,1,20,9,4,2,0,0,0,3,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,14,0,0,0,1,0,0,2,0,0,0
K43-1Logged,K43-1,2012,387.7,40,1,post1,general_mixed,306639,508039,4,10,75,370,114.75,0.19,0.25,0,3,5,0,0,1,0,9,0,0,0,2,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,2,0
K43-1Logged2,K43-1,2020,449.9,41,10,post10,general_mixed,306639,508039,4,10,75,370,114.75,0.19,0.25,0,3,7,1,0,0,0,11,0,0,0,0,5,4,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,1,0,4,0,2,0
K43-1Plogged,K43-1,2010,540,42,0,pre_logged,general_mixed,306639,508039,0,0,0,0,0,0.19,0.25,0,0,7,0,0,1,0,8,0,0,0,1,4,1,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
K43-2Logged,K43-2,2012,400.5,43,1,post1,general_mixed,305638,508026,1,9,163,573,186.5,0.19,0.25,0,2,5,1,0,1,0,9,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0
K43-2Logged2,K43-2,2020,453.6,44,10,post10,general_mixed,305638,508026,1,9,163,573,186.5,0.19,0.25,0,1,6,0,0,2,0,9,0,0,0,0,6,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0
K43-2Plogged,K43-2,2010,216,45,0,pre_logged,general_mixed,305638,508026,0,0,0,0,0,0.19,0.25,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
K43-3Logged,K43-3,2012,252,46,1,post1,general_mixed,304687,508035,6,32,175,645,214.5,0.19,0.25,0,4,5,1,1,2,0,13,0,0,0,2,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0
K43-3Logged2,K43-3,2020,340.2,47,10,post10,general_mixed,304687,508035,6,32,175,645,214.5,0.19,0.25,0,1,7,0,1,2,0,11,0,0,0,0,3,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,6,0,0,0,0,0,0,0,1,3,0
K43-3Plogged,K43-3,2010,423,48,0,pre_logged,general_mixed,304687,508035,0,0,0,0,0,0.19,0.25,0,2,6,1,0,1,1,11,0,0,0,1,3,3,1,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
K43-4Logged,K43-4,2012,324,49,1,post1,general_mixed,303668,508016,3,36,243,719,250.25,0.19,0.25,0,1,1,1,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
K43-4Logged2,K43-4,2020,453.6,50,10,post10,general_mixed,303668,508016,3,36,243,719,250.25,0.19,0.25,0,3,6,0,0,2,0,11,0,0,0,0,3,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,1,0,1,0
K43-4Plogged,K43-4,2010,432,51,0,pre_logged,general_mixed,303668,508016,0,0,0,0,0,0.19,0.25,0,1,4,1,0,1,0,7,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
