MU_code,management_unit,UID,year,effort ,site_number,timesincelogging,timeframe,forest_type ,x,y,buffer100m,buffer200m,buffer500m,buffer1000m,avg_treesharvest,avg_skidtrail,avg_feeder,avg_secondary,insectivores,granivores,frugivores,carnivores,omnivores,frugivore/insectivore,nectarivore,understory,mid-story,canopy,all,diversity,A.infuscatus,A.ochrolaemus,A.roraimae,A.rubiginosus,A.spadiceus,B.capensis,B.rivularis,C.aenea,C.arada,C.caeruleus,C.cinerascens,C.cyanoides,C.elegans,C.gutturalis,C.inda,C.largipennis,C.lineatus,C.mellisugus,C.notatus,C.spiza,C.talpacoti,C.tyrannina,C.ustulatus,C.variegatus,Co.torquatus,D.certhia,D.fuliginosa,D.longicauda,D.merula,D.picus,D.pipra,E.gutturalis,F.analis,F.colma,F.mellivora,F.viridis,G.albirostris,G.hirsutus,G.montana,G.rufigula,G.spirurus,H.cantator,H.flavicollis,H.macularius,H.melanopogon,H.muscicapinus,H.naevius,H.ochraceiceps,H.perrotii,L.albolineatus,L.fulvus,L.galeatus,L.verreauxi,L.vociferans,M.axillaris,M.barbatus,M.behni,M.ferruginea,M.gilvicollis,M.guttata,M.longipennis,M.macconnelli,M.menetriesii,M.momota,M.oleagineus,M.schisticolor,M.sulphureipygius,M.swainsoni,M.villosus,M.viridicata,M.watsonii,My.torquata,N.chrysocephalum,N.tectus,O.coronatus,O.inerme,P.albicollis,P.albifrons,P.augusti,P.carnifex,P.coronatus,P.crepitans,P.griseogularis,P.longuemareus,P.platyrhynchos,P.pyrrhodes,P.ruber,P.ruficaudatum,P.saturatus,P.stellaris,P.striigularis,P.subvinacea,P.superciliosus,P.uropygialis,Pe.erythromelas,Ph.erythrocercum,Pi.erythrocephala,R.olivaceus,R.ruficauda,S.grossus,S.leucostigma,S.mexicanus,S.olivacea,S.rufigularis,S.turdina,T.albicollis,T.ardesiacus,T.caesius,T.erythrurus,T.fumigatus,T.furcata,T.leucurus,T.melanurus,T.murinus,T.pella,T.surinamus,T.violaceus,T.virescens,W.poecilonota,X.guttatus,X.minutus,X.obsoletus,X.pardalotus,X.promeropirhynchus
K39-2Plogged,K39,K39-2,2009,648,21,0,pre_logged,general_mixed,304001,510016,0,0,0,0,0,0.18,0.65,0.54,21,0,2,1,2,1,0,23,0,2,2,27,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,7,1,0,2,0,0,0,0,3,14,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,3,0,0,0,0,8,1,0,0,1,1
K39-3Logged,K39,K39-3,2012,639,22,1,post1,general_mixed,303001,510017,16,49,242,414,180.25,0.18,0.65,0.54,24,0,1,0,1,1,0,24,1,1,1,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,4,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,4,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,2,6,1,0,0,0,0,0,0,0,0,0,6,0,2,2,1,0
K39-3Logged2,K39,K39-3,2020,648,23,10,post10,general_mixed,303001,510017,16,49,242,414,180.25,0.18,0.65,0.54,26,0,1,0,2,2,1,29,1,1,1,32,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,0,0,1,0,4,4,5,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,5,1,9,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,1,0,0,2,0,1,0,0,0,2,0,0,0,2,1,0,0,0,0,0,4,0,5,0,1,4,3,1,0,0,0
K39-3Plogged,K39,K39-3,2009,711,24,0,pre_logged,general_mixed,303001,510017,0,0,0,0,0,0.18,0.65,0.54,20,0,0,0,1,1,0,20,0,1,1,22,0,1,0,2,0,0,0,0,11,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,13,1,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,1,0,0,0,0,1,0,0,0,0,6,0,0,0,3,0
K39-4Logged,K39,K39-4,2012,648,25,1,post1,greenheart,302017,510004,14,33,113,414,143.5,0.18,0.65,0.54,16,0,0,0,1,1,1,19,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
K39-4Logged2,K39,K39-4,2020,635.4,26,10,post10,greenheart,302017,510004,14,33,113,414,143.5,0.18,0.65,0.54,17,0,3,0,2,0,1,19,1,2,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,10,1,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,3,0,0,0,0,4,3,0,0,0,2,0,0,0,0,0,0,1,0,4,0,0,5,0,1,0,0,0
K39-4Plogged,K39,K39-4,2009,648,27,0,pre_logged,greenheart,302017,510004,0,0,0,0,0,0.18,0.65,0.54,21,1,1,0,3,1,0,20,1,3,3,27,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,3,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,8,1,0,0,0,0,0,0,0,1,0,0,3,1,2,0,1,0
K41-1Logged,K41,K41-1,2011,576,28,1,post1,soft_wallaba,307997,510429,0,4,130,445,144.75,0.22,0.32,0.61,16,0,0,0,2,2,1,18,1,0,2,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,0,0,1,0,0,2,0,2,0,0,3,0,0,0,0,1
K41-1Logged2,K41,K41-1,2020,644.9,29,10,post10,soft_wallaba,307997,510429,0,4,130,445,144.75,0.22,0.32,0.61,14,0,0,0,1,1,1,16,0,0,1,17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
K41-1Plogged,K41,K41-1,2008,619.4,30,0,pre_logged,soft_wallaba,307997,510429,0,0,0,0,0,0.22,0.32,0.61,14,0,0,1,1,1,0,17,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,12,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
